"team1","team2","winner","venue"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Delhi Capitals","Deccan Chargers","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium, Mumbai"
"Delhi Capitals","Punjab Kings","Punjab Kings","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Deccan Chargers","Mumbai Indians","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","Eden Gardens, Kolkata"
"Mumbai Indians","Punjab Kings","Punjab Kings","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Deccan Chargers","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","MA Chidambaram Stadium, Chennai"
"Royal Challengers Bengaluru","Deccan Chargers","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Mumbai Indians","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Deccan Chargers","Chennai Super Kings","Chennai Super Kings","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Newlands, Cape Town"
"Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","Newlands, Cape Town"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Newlands, Cape Town"
"Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","Newlands, Cape Town"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","St George's Park, Port Elizabeth"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Kingsmead, Durban"
"Royal Challengers Bengaluru","Deccan Chargers","Deccan Chargers","Newlands, Cape Town"
"Chennai Super Kings","Delhi Capitals","Delhi Capitals","Kingsmead, Durban"
"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","Newlands, Cape Town"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","Kingsmead, Durban"
"Deccan Chargers","Mumbai Indians","Deccan Chargers","Kingsmead, Durban"
"Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","St George's Park, Port Elizabeth"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Newlands, Cape Town"
"Chennai Super Kings","Deccan Chargers","Deccan Chargers","Kingsmead, Durban"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","St George's Park, Port Elizabeth"
"Delhi Capitals","Rajasthan Royals","Rajasthan Royals","SuperSport Park, Centurion"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","Kingsmead, Durban"
"Punjab Kings","Mumbai Indians","Punjab Kings","Kingsmead, Durban"
"Deccan Chargers","Delhi Capitals","Delhi Capitals","SuperSport Park, Centurion"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","SuperSport Park, Centurion"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Buffalo Park, East London"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","Kingsmead, Durban"
"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","St George's Park, Port Elizabeth"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","New Wanderers Stadium, Johannesburg"
"Punjab Kings","Kolkata Knight Riders","Punjab Kings","St George's Park, Port Elizabeth"
"Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","New Wanderers Stadium, Johannesburg"
"Chennai Super Kings","Deccan Chargers","Chennai Super Kings","Buffalo Park, East London"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Kingsmead, Durban"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","Kingsmead, Durban"
"Deccan Chargers","Mumbai Indians","Deccan Chargers","SuperSport Park, Centurion"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","SuperSport Park, Centurion"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","SuperSport Park, Centurion"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Buffalo Park, East London"
"Deccan Chargers","Punjab Kings","Punjab Kings","De Beers Diamond Oval, Kimberley"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","De Beers Diamond Oval, Kimberley"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","St George's Park, Port Elizabeth"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","New Wanderers Stadium, Johannesburg"
"Deccan Chargers","Rajasthan Royals","Deccan Chargers","De Beers Diamond Oval, Kimberley"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","SuperSport Park, Centurion"
"Punjab Kings","Mumbai Indians","Mumbai Indians","SuperSport Park, Centurion"
"Deccan Chargers","Delhi Capitals","Delhi Capitals","Kingsmead, Durban"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","Kingsmead, Durban"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Kingsmead, Durban"
"Delhi Capitals","Punjab Kings","Punjab Kings","Outsurance Oval, Bloemfontein"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","St George's Park, Port Elizabeth"
"Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","New Wanderers Stadium, Johannesburg"
"Deccan Chargers","Punjab Kings","Punjab Kings","New Wanderers Stadium, Johannesburg"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Outsurance Oval, Bloemfontein"
"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","SuperSport Park, Centurion"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","New Wanderers Stadium, Johannesburg"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Kingsmead, Durban"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","Kingsmead, Durban"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","SuperSport Park, Centurion"
"Royal Challengers Bengaluru","Deccan Chargers","Royal Challengers Bengaluru","SuperSport Park, Centurion"
"Delhi Capitals","Deccan Chargers","Deccan Chargers","SuperSport Park, Centurion"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","New Wanderers Stadium, Johannesburg"
"Royal Challengers Bengaluru","Deccan Chargers","Deccan Chargers","New Wanderers Stadium, Johannesburg"
"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","Dr DY Patil Sports Academy, Mumbai"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Brabourne Stadium, Mumbai"
"Punjab Kings","Delhi Capitals","Delhi Capitals","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Chennai Super Kings","Deccan Chargers","Deccan Chargers","MA Chidambaram Stadium, Chennai"
"Rajasthan Royals","Delhi Capitals","Delhi Capitals","Narendra Modi Stadium, Ahmedabad"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Eden Gardens, Kolkata"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Deccan Chargers","Punjab Kings","Deccan Chargers","Barabati Stadium, Cuttack"
"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Brabourne Stadium, Mumbai"
"Deccan Chargers","Delhi Capitals","Deccan Chargers","Barabati Stadium, Cuttack"
"Chennai Super Kings","Punjab Kings","Punjab Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Brabourne Stadium, Mumbai"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Brabourne Stadium, Mumbai"
"Rajasthan Royals","Deccan Chargers","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Deccan Chargers","Mumbai Indians","Mumbai Indians","Dr DY Patil Sports Academy, Mumbai"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Punjab Kings","Mumbai Indians","Brabourne Stadium, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Deccan Chargers","Mumbai Indians","Brabourne Stadium, Mumbai"
"Kolkata Knight Riders","Punjab Kings","Punjab Kings","Eden Gardens, Kolkata"
"Delhi Capitals","Royal Challengers Bengaluru","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","Vidarbha Cricket Association Stadium, Nagpur"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Rajasthan Royals","Punjab Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Deccan Chargers","Deccan Chargers","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Mumbai Indians","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Deccan Chargers","Chennai Super Kings","Deccan Chargers","Vidarbha Cricket Association Stadium, Nagpur"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Punjab Kings","Punjab Kings","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Mumbai Indians","Mumbai Indians","Sawai Mansingh Stadium, Jaipur"
"Deccan Chargers","Royal Challengers Bengaluru","Deccan Chargers","Vidarbha Cricket Association Stadium, Nagpur"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Brabourne Stadium, Mumbai"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Delhi Capitals","Delhi Capitals","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Deccan Chargers","Deccan Chargers","Himachal Pradesh Cricket Association, Dharmasala"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Himachal Pradesh Cricket Association, Dharmasala"
"Delhi Capitals","Deccan Chargers","Deccan Chargers","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Deccan Chargers","Chennai Super Kings","Dr DY Patil Sports Academy, Mumbai"
"Royal Challengers Bengaluru","Deccan Chargers","Royal Challengers Bengaluru","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","Rajiv Gandhi International Stadium, Hyderabad"
"Kochi Tuskers Kerala","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Nehru Stadium, Kochi"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Arun Jaitley Stadium, Delhi"
"Pune Warriors","Punjab Kings","Pune Warriors","Dr DY Patil Sports Academy, Mumbai"
"Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Chennai Super Kings","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Pune Warriors","Kochi Tuskers Kerala","Pune Warriors","Dr DY Patil Sports Academy, Mumbai"
"Deccan Chargers","Royal Challengers Bengaluru","Deccan Chargers","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Kochi Tuskers Kerala","Kochi Tuskers Kerala","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Deccan Chargers","Punjab Kings","Punjab Kings","Rajiv Gandhi International Stadium, Hyderabad"
"Pune Warriors","Delhi Capitals","Delhi Capitals","Dr DY Patil Sports Academy, Mumbai"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Kochi Tuskers Kerala","Chennai Super Kings","Kochi Tuskers Kerala","Nehru Stadium, Kochi"
"Delhi Capitals","Deccan Chargers","Deccan Chargers","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Pune Warriors","Mumbai Indians","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Kochi Tuskers Kerala","Kochi Tuskers Kerala","Eden Gardens, Kolkata"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Eden Gardens, Kolkata"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Deccan Chargers","Mumbai Indians","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Kochi Tuskers Kerala","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Pune Warriors","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Arun Jaitley Stadium, Delhi"
"Pune Warriors","Chennai Super Kings","Chennai Super Kings","Dr DY Patil Sports Academy, Mumbai"
"Kochi Tuskers Kerala","Deccan Chargers","Deccan Chargers","Nehru Stadium, Kochi"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Mumbai Indians","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Pune Warriors","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kochi Tuskers Kerala","Delhi Capitals","Delhi Capitals","Nehru Stadium, Kochi"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Pune Warriors","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Deccan Chargers","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Punjab Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Delhi Capitals","Kochi Tuskers Kerala","Kochi Tuskers Kerala","Arun Jaitley Stadium, Delhi"
"Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Pune Warriors","Mumbai Indians","Mumbai Indians","Dr DY Patil Sports Academy, Mumbai"
"Kochi Tuskers Kerala","Kolkata Knight Riders","Kochi Tuskers Kerala","Nehru Stadium, Kochi"
"Deccan Chargers","Delhi Capitals","Delhi Capitals","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Kochi Tuskers Kerala","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Pune Warriors","Pune Warriors","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","Sawai Mansingh Stadium, Jaipur"
"Deccan Chargers","Pune Warriors","Pune Warriors","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Mumbai Indians","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kochi Tuskers Kerala","Punjab Kings","Punjab Kings","Holkar Cricket Stadium, Indore"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Mumbai Indians","Deccan Chargers","Deccan Chargers","Wankhede Stadium, Mumbai"
"Punjab Kings","Delhi Capitals","Punjab Kings","Himachal Pradesh Cricket Association, Dharmasala"
"Kochi Tuskers Kerala","Rajasthan Royals","Kochi Tuskers Kerala","Holkar Cricket Stadium, Indore"
"Pune Warriors","Deccan Chargers","Deccan Chargers","Dr DY Patil Sports Academy, Mumbai"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Himachal Pradesh Cricket Association, Dharmasala"
"Chennai Super Kings","Kochi Tuskers Kerala","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","Dr DY Patil Sports Academy, Mumbai"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Punjab Kings","Deccan Chargers","Deccan Chargers","Himachal Pradesh Cricket Association, Dharmasala"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","MA Chidambaram Stadium, Chennai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","Eden Gardens, Kolkata"
"Mumbai Indians","Pune Warriors","Pune Warriors","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Punjab Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Deccan Chargers","Chennai Super Kings","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Pune Warriors","Punjab Kings","Pune Warriors","Maharashtra Cricket Association Stadium, Pune"
"Deccan Chargers","Mumbai Indians","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Chennai Super Kings","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Pune Warriors","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Delhi Capitals","Deccan Chargers","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Pune Warriors","Chennai Super Kings","Pune Warriors","Maharashtra Cricket Association Stadium, Pune"
"Kolkata Knight Riders","Punjab Kings","Punjab Kings","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","M Chinnaswamy Stadium, Bengaluru"
"Mumbai Indians","Delhi Capitals","Delhi Capitals","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Deccan Chargers","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Pune Warriors","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Deccan Chargers","Delhi Capitals","Delhi Capitals","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Pune Warriors","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
